Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Media
3748056394,"Jul 4, 2020, 12:57:37 PM",1st ride,Ride,"",636740,2.99,,,false,,,activities/3748056394.gpx,,,636740.0,1005.0,2998.800048828125,10.800000190734863,2.9838805198669434,9.277777671813965,4.577779769897461,21.5,30.799999237060547,4.199999809265137,0.15672935545444489,,,,,,,,,,,,,,,,,,4.0,,,,,0.0,11.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.5,,,,,,""
3748239651,"Jul 11, 2020, 9:51:06 PM",Break-in!,Ride,"Still trying to learn how to easily clip in shoes with the toe clip. 
Light to moderate climbs
Lots of stops. 

#takbongchubby lang",3789,14.95,,,false,,2017 Cinelli Tipo Pista,activities/3748239651.gpx,,,3789.0,3115.0,14956.5,17.700000762939453,4.8014445304870605,64.58474731445312,49.98469924926758,10.199999809265137,38.70000076293945,6.5,0.09761641919612885,,,,,,,,,,,,,,,,,,6.0,,,,,0.0,82.0,0.0,,1.0,,,,,,,,,,,,,,,,9229464.0,,,,,,,,,,,,,0.0,,,,,,media/C1353AD5-C67D-4337-BF05-90FF2D95E9C4.jpg|media/784B9DB4-8AE5-43A0-854C-6EC565AB3219.jpg
3979407827,"Aug 28, 2020, 9:45:19 PM",Los Banos attemp,Ride,,2417,8.76,,,false,,,activities/3979407827.gpx,,,2417.0,1564.0,8768.7998046875,11.300000190734863,5.606649398803711,12.994913101196289,28.49489974975586,10.199999809265137,27.299999237060547,3.0,-0.17676307260990143,,,,,,,,,,,,,,,,,,6.0,,,,,0.0,41.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,""
4051298220,"Sep 12, 2020, 10:17:13 PM",UPRHS Ride,Ride,"I am so beat. Farthest ride so far on fixed gear. 

Back to my HS alma mater after 2 years. I miss going through the IPB road. Felt so carefree. ""No hands"" on almost a kilometer stretch. Also went to my bestfriend's house to take a short clip of their home to show to him since he's in NZL. 

Had buko juice near IRRI! Sobrang solid talaga. 

My first time to ride with fellow fixed gear riders. They dont have brakes and they have racks and their bikes are awesome!",12127,42.74,,,false,,,activities/4051298220.gpx,,,12127.0,8909.0,42740.0,11.399999618530273,4.797395706176758,148.5519561767578,148.2519989013672,10.199999809265137,38.400001525878906,10.199999809265137,0.0007019185577519238,,,,,,,,,,,,,,,,,,7.0,,,,,0.0,284.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357.6000061035156,,,,,,media/1E217299-C6A2-4FD2-AD86-679579B77DEF.jpg
4082873705,"Sep 19, 2020, 6:03:41 AM",Budol ride,Ride,"Calamba to Los Banos to Bay to Victoria to Calauan to Los Banos and back to Calamba.

Longest ride on fixed gear so far! 

Was able to skid along Calauan. Super laspag. But I still want to ride farther. Nabudol ng HS batchmate ko. Dapat hanggang Bay lang kami since mag pickup lang kami ng binili kong salabat tea sa isa ko pang HS batchmate. 

First night ride as well. Had some beer before bumalik ng Calamba from Los Banos. Kakatakot pag walang ilaw or safety equipment. 

Super nalaspag! Grabe. Gusto ko magtrain para makapagbike pa nang malayo",31880,55.75,,,false,,,activities/4082873705.gpx,,,31880.0,12061.0,55753.6015625,11.100000381469727,4.6226348876953125,195.56336975097656,195.46299743652344,7.699999809265137,41.5,20.0,0.00017936062067747116,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416.3999938964844,,,,,,""
4086191939,"Sep 20, 2020, 9:53:22 AM",Try with phone holder,Ride,"",284,0.72,,,false,,2017 Cinelli Tipo Pista,activities/4086191939.gpx,,,284.0,284.0,726.0,7.699999809265137,2.55633807182312,3.2090001106262207,4.109000205993652,24.100000381469727,28.0,7.800000190734863,-0.12396693974733353,,,,,,,,,,,,,,,,,,2.0,,,,,0.0,1.0,0.0,,1.0,,,,,,,,,,,,,,,,9229464.0,,,,,,,,,,,,,0.0,,,,,,""
4111773303,"Sep 25, 2020, 10:03:02 PM",Morning Ride,Ride,"",426,1.11,,,false,,2017 Cinelli Tipo Pista,activities/4111773303.gpx,,,426.0,416.0,1110.800048828125,4.800000190734863,2.670192241668701,3.0411765575408936,3.041179895401001,24.100000381469727,27.299999237060547,4.900000095367432,0.0,,,,,,,,,,,,,,,,,,3.0,,,,,0.0,3.0,0.0,,1.0,,,,,,,,,,,,,,,,9229464.0,,,,,,,,,,,,,0.0,,,,,,""
4116854358,"Sep 26, 2020, 9:36:23 PM",Morning Ride,Ride,"",10405,37.31,,,false,,2017 Cinelli Tipo Pista,activities/4116854358.gpx,,,10405.0,7460.0,37311.69921875,12.0,5.00156831741333,122.52032470703125,122.41999816894531,10.199999809265137,38.400001525878906,6.099999904632568,0.0002680124598555267,,,,,,,,,,,,,,,,,,6.0,,,,,0.0,196.0,0.0,,1.0,,,,,,,,,,,,,,,,9229464.0,,,,,,,,,,,,,142.3000030517578,,,,,,""
4143415139,"Oct 2, 2020, 10:11:46 PM",Morning Ride,Ride,"",5471,15.13,,,false,,2017 Cinelli Tipo Pista,activities/4143415139.gpx,,,5471.0,3258.0,15137.7998046875,9.699999809265137,4.646347522735596,61.061710357666016,49.56169891357422,10.199999809265137,38.599998474121094,5.900000095367432,0.07596876472234726,,,,,,,,,,,,,,,,,,6.0,,,,,0.0,85.0,0.0,,1.0,,,,,,,,,,,,,,,,9229464.0,,,,,,,,,,,,,8.899999618530273,,,,,,""
4157789711,"Oct 6, 2020, 7:00:31 AM",Workout ride,Ride,"",7107,10.96,,,false,,2017 Cinelli Tipo Pista,activities/4157789711.gpx,,,7107.0,3124.0,10960.7001953125,11.199999809265137,3.508546829223633,38.49770736694336,40.09769821166992,14.300000190734863,43.900001525878906,8.699999809265137,-0.014597607776522636,,,,,,,,,,,,,,,,,,3.0,,,,,0.0,26.0,0.0,,1.0,,,,,,,,,,,,,,,,9229464.0,,,,,,,,,,,,,50.400001525878906,,,,,,media/9E028F88-B40F-48AC-8841-02165844A1EA.jpg|media/3F86C89E-9D47-4D76-90F6-2F0B5DCDB9A7.jpg
